COMBUSTÍVEL ; ANO ; REGIÃO ; ESTADO ; UNIDADE ; JANEIRO ; FEVEREIRO ; MARÇO ; ABRIL ; MAIO ; JUNHO ; JULHO ; AGOSTO ; SETEMBRO ; OUTUBRO ; NOVEMBRO ; DEZEMBRO ; TOTAL ; 
ÓLEO DIESEL ;1991; REGIÃO NORTE ; RONDÔNIA ; m3 ;26643,844;21500,087;24056,295;27669,5;14708,058;31784,557;40806,787;56903,52;33979,571;39615,147;29952,38;31432,228;379051,974; 
ÓLEO DIESEL ;1991; REGIÃO NORTE ; ACRE ; m3 ;5607,47;5853,796;5653,329;5845,262;478,4;5787,672;7019,593;15239,82;7293,495;8569,62;7084,376;7000,253;81433,086; 
ÓLEO DIESEL ;1991; REGIÃO NORTE ; AMAZONAS ; m3 ;27459,403;22908,284;25202,683;23242,687;10137,203;25614,002;30094,298;43431,673;27908,593;31152,856;30878,297;32128,213;330158,192; 
ÓLEO DIESEL ;1991; REGIÃO NORTE ; RORAIMA ; m3 ;7943,983;6598,477;7992,375;7948,496;0;7095,955;7665,297;15280,652;7597,08;8920,125;8206,186;8773,233;94021,859; 
ÓLEO DIESEL ;1991; REGIÃO NORTE ; PARÁ ; m3 ;74126,038;46720,775;52854,892;49582,229;41168,325;58372,958;83721,573;105607,668;71870,974;76032,057;58429,761;63794,339;782281,589; 
ÓLEO DIESEL ;1991; REGIÃO NORTE ; AMAPÁ ; m3 ;7667,589;3949,914;3888,488;3628,061;3396,395;3540,821;7428,765;7588,664;5955,444;6355,665;5971,449;5769,63;65140,885; 
ÓLEO DIESEL ;1991; REGIÃO NORTE ; TOCANTINS ; m3 ;18473,164;13312,088;16384,467;16996,101;13810,948;14681,629;21390;27681,862;19425,315;23600,567;18194,258;19904,68;223855,079; 
ÓLEO DIESEL ;1991; REGIÃO NORDESTE ; MARANHÃO ; m3 ;39215,725;27100,203;27581,206;29872,765;23324,866;29495,35;38582,83;50909,562;35143,531;37877,144;31811,573;37746,028;408660,783; 
ÓLEO DIESEL ;1991; REGIÃO NORDESTE ; PIAUÍ ; m3 ;12001,276;11944,113;11401,304;13615,357;8555,85;13185,058;17421,03;22868,106;14382,242;16081,196;13576,78;14353,4;169385,712; 
ÓLEO DIESEL ;1991; REGIÃO NORDESTE ; CEARÁ ; m3 ;34545,063;27412,475;27717,894;28354,692;23804,332;30913,366;44336,217;50278,172;35724,208;40102,938;31534,63;35560,74;410284,727; 
ÓLEO DIESEL ;1991; REGIÃO NORDESTE ; RIO GRANDE DO NORTE ; m3 ;18070,852;13368,509;12464,076;14549,655;9697,334;14152,312;17595,801;22708,836;15503,881;19076,392;14169,242;15911,62;187268,51; 
ÓLEO DIESEL ;1991; REGIÃO NORDESTE ; PARAÍBA ; m3 ;18870,678;14011,324;13220,721;13747,29;10904,048;13324,463;20020,439;19434,396;16282,134;20737,833;15052,346;13628,57;189234,242; 
ÓLEO DIESEL ;1991; REGIÃO NORDESTE ; PERNAMBUCO ; m3 ;59704,939;44811,051;45868,201;45703,789;33769,362;40533,664;55020,782;62446,034;49706,091;60040,962;48094,512;52362,24;598061,627; 
ÓLEO DIESEL ;1991; REGIÃO NORDESTE ; ALAGOAS ; m3 ;29072,864;20562,104;18079,562;15831,995;10401,292;13160,306;17233,92;21081,85;16126,108;24975,053;20333,204;24697,453;231555,711; 
ÓLEO DIESEL ;1991; REGIÃO NORDESTE ; SERGIPE ; m3 ;20096,417;15065,33;15072,916;16238,378;11070,858;13603,54;17012,125;21977,93;15166,655;16916,409;13773,842;16084,051;192078,451; 
ÓLEO DIESEL ;1991; REGIÃO NORDESTE ; BAHIA ; m3 ;112234,318;86549,755;90399,822;105131,137;76577,045;95422,821;123594,791;150735,061;110191,862;125884,843;100400,378;107648,82;1284770,653; 
ÓLEO DIESEL ;1991; REGIÃO SUDESTE ; MINAS GERAIS ; m3 ;256883,922;197231,088;219083,04;269093,126;202675,111;255278,551;321570,685;393636,859;269567,901;313011,125;251281,724;253827,568;3203140,7; 
ÓLEO DIESEL ;1991; REGIÃO SUDESTE ; ESPÍRITO SANTO ; m3 ;52051,434;40713,312;37604,74;51040,323;27791,723;44404,736;56232,605;74451,772;45764,267;54239,285;41503,805;44872,549;570670,551; 
ÓLEO DIESEL ;1991; REGIÃO SUDESTE ; RIO DE JANEIRO ; m3 ;136478,565;96775,07;109276,19;120130,47;107879,762;117710,595;200226,938;162051,164;126724,207;143017,308;140871,268;129328,954;1590470,491; 
ÓLEO DIESEL ;1991; REGIÃO SUDESTE ; SÃO PAULO ; m3 ;522907,235;397272,253;415295,895;596791,063;484188,121;523812,872;680484,959;762043,729;545495,797;644421,271;494024,726;488787,524;6555525,445; 
ÓLEO DIESEL ;1991; REGIÃO SUL ; PARANÁ ; m3 ;197438,775;135834,303;139295,363;214059,216;184939,517;168414,214;228837,939;247101,633;196333,375;232029,739;157631,838;150385,037;2252300,949; 
ÓLEO DIESEL ;1991; REGIÃO SUL ; SANTA CATARINA ; m3 ;84352,665;66648,91;60452,676;85935,859;74576,41;77368,548;104279,756;104425,226;84569,546;98532,39;68294,59;75603,509;985040,085; 
ÓLEO DIESEL ;1991; REGIÃO SUL ; RIO GRANDE DO SUL ; m3 ;139543,738;97669,889;100713,813;172010,815;131501,552;138449,786;171951,311;225945,766;182830,046;282868,794;167469,054;169067,468;1980022,032; 
ÓLEO DIESEL ;1991; REGIÃO CENTRO-OESTE ; MATO GROSSO DO SUL ; m3 ;71529,352;50342,831;53360,135;89264,859;57482,995;64244,446;87270,354;102379;70471,286;97726,881;75411,281;61072,656;880556,076; 
ÓLEO DIESEL ;1991; REGIÃO CENTRO-OESTE ; MATO GROSSO ; m3 ;80238,726;58776,617;62209,244;107240,252;70615,28;84213,424;110655,874;131085,157;91325,205;115390,073;95547,553;77037,688;1084335,093; 
ÓLEO DIESEL ;1991; REGIÃO CENTRO-OESTE ; GOIÁS ; m3 ;77820,698;59300,417;64772,618;82178,792;69628,772;78493,379;104663,37;115548,207;89895,89;112357,604;93933,121;79939,801;1028532,669; 
ÓLEO DIESEL  ;1991; REGIÃO CENTRO-OESTE ; DISTRITO FEDERAL ; m3 ;15628,605;12765,541;13646,845;16130,637;9133,994;17468,608;19325,398;28320,962;16905,704;19019,383;17381,941;17424,298;203151,916; 
ÓLEO DIESEL ;1992; REGIÃO NORTE ; RONDÔNIA ; m3 ;26429,641;27298,938;26231,343;27936,358;26694,849;32685,161;36562,835;32601,64;30194,754;29618,992;30485,302;27272,456;354012,269; 
ÓLEO DIESEL ;1992; REGIÃO NORTE ; ACRE ; m3 ;9710,838;5478,391;5671,383;6674,417;7234,982;8923,949;9577,309;9872,05;9220,5;10249,862;8368,181;8545,188;99527,05; 
ÓLEO DIESEL ;1992; REGIÃO NORTE ; AMAZONAS ; m3 ;31430,959;31842,184;36659,968;36817,596;40446,5;50677,298;51254,487;50359,912;42050,472;39932,576;33650,968;35022,108;480145,028; 
ÓLEO DIESEL ;1992; REGIÃO NORTE ; RORAIMA ; m3 ;9542,129;6049,933;9269,078;9427,245;7407,643;8372,921;8222,532;8009,221;8831,755;9442,59;8672,151;9380,586;102627,784; 
ÓLEO DIESEL ;1992; REGIÃO NORTE ; PARÁ ; m3 ;61625,644;52982,901;53476,936;56033,97;56113,263;60726,804;67404,663;67229,918;61986,548;60885,757;60516,393;55642,969;714625,766; 
ÓLEO DIESEL ;1992; REGIÃO NORTE ; AMAPÁ ; m3 ;6511,303;4560,873;5098,557;7440,886;5382,127;7114,207;7468,369;6823,241;5973,57;8052,921;8625,397;8425,59;81477,041; 
ÓLEO DIESEL ;1992; REGIÃO NORTE ; TOCANTINS ; m3 ;16766,04;15865,53;17722,153;18023,236;17995,383;19393,29;22362,525;21873,086;20793,719;22766,109;22652,401;21670,455;237883,927; 
ÓLEO DIESEL ;1992; REGIÃO NORDESTE ; MARANHÃO ; m3 ;33418,179;32192,38;31942,81;32839,995;30862,419;37156,49;41168,661;43064,535;39313,218;39712,44;39777,845;42217,05;443666,022; 
ÓLEO DIESEL ;1992; REGIÃO NORDESTE ; PIAUÍ ; m3 ;16359,8;12817,7;13861,05;13558;12562,35;14520,4;15226,51;14819,5;14517,55;13748,7;14066,82;13895,75;169954,13; 
ÓLEO DIESEL ;1992; REGIÃO NORDESTE ; CEARÁ ; m3 ;36097,165;31249,94;29194,915;32344,41;29145,606;34887,7;39099,198;35641,99;34633,56;35666,605;34299,07;34387,53;406647,689; 
ÓLEO DIESEL ;1992; REGIÃO NORDESTE ; RIO GRANDE DO NORTE ; m3 ;18343,05;14698,35;13747,378;15369,15;13307,88;15333,6;17653,8;18402;14896,85;16554,75;18066,85;17105,9;193479,558; 
ÓLEO DIESEL ;1992; REGIÃO NORDESTE ; PARAÍBA ; m3 ;21196,851;15419,73;14036,71;15424,89;12540,08;15573,82;17014,97;15674,85;14983,15;17732,58;17298,295;16763,49;193659,416; 
ÓLEO DIESEL ;1992; REGIÃO NORDESTE ; PERNAMBUCO ; m3 ;59659,072;48669,063;47485,292;44614,306;39166,237;44939,013;48889,918;47811,53;47914,397;55415,717;55383,72;57415,623;597363,888; 
ÓLEO DIESEL ;1992; REGIÃO NORDESTE ; ALAGOAS ; m3 ;24235,4;18926;16592,25;15974,3;13766,17;14855,45;16423,35;15490,524;16631,95;23055,65;24339,91;25264,7;225555,654; 
ÓLEO DIESEL ;1992; REGIÃO NORDESTE ; SERGIPE ; m3 ;15798,969;13996,173;15339,246;15826,108;14254,884;15277,133;17619,838;15144,589;15851,674;16716,416;16712,481;16744,928;189282,439; 
ÓLEO DIESEL ;1992; REGIÃO NORDESTE ; BAHIA ; m3 ;101543,531;92011,955;104321,898;108793,747;96982,443;105693,766;117130,56;111243,562;110984,979;118193,911;118256,721;110748,927;1295906; 
ÓLEO DIESEL ;1992; REGIÃO SUDESTE ; MINAS GERAIS ; m3 ;225356,194;217570,154;243100,334;255596,481;245950,316;273266,375;303127,223;276925,443;274242,216;277977,522;262576,115;266315,699;3122004,072; 
ÓLEO DIESEL ;1992; REGIÃO SUDESTE ; ESPÍRITO SANTO ; m3 ;45026,179;39410,791;45477,192;44229,779;39110,914;45069,364;40944,731;39989,526;34036,557;38363,071;32590,762;32415,784;476664,65; 
