COMBUSTÍVEL ; ANO ; REGIÃO ; ESTADO ; UNIDADE ; JANEIRO ; FEVEREIRO ; MARÇO ; ABRIL ; MAIO ; JUNHO ; JULHO ; AGOSTO ; SETEMBRO ; OUTUBRO ; NOVEMBRO ; DEZEMBRO ; TOTAL ; 
QUEROSENE ILUMINANTE ;1997; REGIÃO SUL ; PARANÁ ; m3 ;536;601,042;658,138;733,43;587,432;619,706;627,38;546,283;472,836;547,96;521,325;419,671;6871,203; 
QUEROSENE ILUMINANTE ;1997; REGIÃO SUL ; SANTA CATARINA ; m3 ;341,204;497,012;540,612;583,954;568,448;570,896;609,718;497,46;578,284;505,88;413,284;416,388;6123,14; 
QUEROSENE ILUMINANTE ;1997; REGIÃO SUL ; RIO GRANDE DO SUL ; m3 ;784,258;781,232;1016,48;995,529;804,485;922,952;1022,694;714,804;852,732;783,612;778,538;727,189;10184,505; 
QUEROSENE ILUMINANTE ;1997; REGIÃO CENTRO-OESTE ; MATO GROSSO DO SUL ; m3 ;25,15;11,95;22,97;21,88;20,89;29;17,97;10;17,97;24,97;19,27;27,6;249,62; 
QUEROSENE ILUMINANTE ;1997; REGIÃO CENTRO-OESTE ; MATO GROSSO ; m3 ;0;0;0;5;0;0;0;5;0;0;5;0;15; 
QUEROSENE ILUMINANTE ;1997; REGIÃO CENTRO-OESTE ; GOIÁS ; m3 ;95,15;115,7;130;98,95;117,75;95;90,05;49,7;100,95;70;48,7;55;1066,95; 
QUEROSENE ILUMINANTE ;1997; REGIÃO CENTRO-OESTE ; DISTRITO FEDERAL ; m3 ;32,25;43,6;12;55,8;40,4;20,8;37,65;22;35,45;49;12,4;22,2;383,55; 
QUEROSENE ILUMINANTE ;1998; REGIÃO NORTE ; RONDÔNIA ; m3 ;30;20;20;10;10;10;55;0;20;10;35;0;220; 
QUEROSENE ILUMINANTE ;1998; REGIÃO NORTE ; ACRE ; m3 ;0;0;0;0;0;0;0;0;0;0;0;0;0; 
QUEROSENE ILUMINANTE ;1998; REGIÃO NORTE ; AMAZONAS ; m3 ;236,8;311,4;375,6;296;268,4;266;212,2;201,2;295;280,4;165;145,2;3053,2; 
QUEROSENE ILUMINANTE ;1998; REGIÃO NORTE ; RORAIMA ; m3 ;0;0;0;0;0;0;0;0;0;0;0;0;0; 
QUEROSENE ILUMINANTE ;1998; REGIÃO NORTE ; PARÁ ; m3 ;360,45;310,7;344,45;397,4;325,35;371,3;348,1;368,3;357,5;421,3;316,4;393,35;4314,6; 
QUEROSENE ILUMINANTE ;1998; REGIÃO NORTE ; AMAPÁ ; m3 ;0;0;0;0;0;0;0;0;0;0;0;0;0; 
QUEROSENE ILUMINANTE ;1998; REGIÃO NORTE ; TOCANTINS ; m3 ;0;0;0;0;0;0;0;0;0;0;0;0;0; 
QUEROSENE ILUMINANTE ;1998; REGIÃO NORDESTE ; MARANHÃO ; m3 ;555,8;452,65;486,3;503,2;542,3;574,4;525,2;515;431,25;625,35;495,3;566,5;6273,25; 
QUEROSENE ILUMINANTE ;1998; REGIÃO NORDESTE ; PIAUÍ ; m3 ;267,142;159,989;222,35;135;272,2;137,2;238,4;122,2;229,4;159,4;177,5;172,2;2292,981; 
QUEROSENE ILUMINANTE ;1998; REGIÃO NORDESTE ; CEARÁ ; m3 ;658,208;419,208;463,208;752,208;525,208;505;479,208;388,208;348,208;391,208;353,208;483,208;5766,288; 
QUEROSENE ILUMINANTE ;1998; REGIÃO NORDESTE ; RIO GRANDE DO NORTE ; m3 ;60;40;50;70;31,25;20;40;191,25;132;83;124;165,25;1006,75; 
QUEROSENE ILUMINANTE ;1998; REGIÃO NORDESTE ; PARAÍBA ; m3 ;40;55;25;15;50;25;55;25;15;45;30;55;435; 
QUEROSENE ILUMINANTE ;1998; REGIÃO NORDESTE ; PERNAMBUCO ; m3 ;311;211,65;318,45;272,55;250,75;335,6;299,15;286,6;283,5;353,15;335,5;343,55;3601,45; 
QUEROSENE ILUMINANTE ;1998; REGIÃO NORDESTE ; ALAGOAS ; m3 ;20;0;20;10;10;10;10;20;10;10;10;10;140; 
QUEROSENE ILUMINANTE ;1998; REGIÃO NORDESTE ; SERGIPE ; m3 ;10;0;10;10;5;10;10;10;5;10;10;5;95; 
QUEROSENE ILUMINANTE ;1998; REGIÃO NORDESTE ; BAHIA ; m3 ;942,65;898,25;952,5;815,39;973,05;885,15;1004,85;882;953,52;976,25;718,6;1079,7;11081,91; 
QUEROSENE ILUMINANTE ;1998; REGIÃO SUDESTE ; MINAS GERAIS ; m3 ;788,05;855,98;1322,33;1247,03;1006,935;751,13;679,98;626,38;622,63;650,45;595,726;667,825;9814,446; 
QUEROSENE ILUMINANTE ;1998; REGIÃO SUDESTE ; ESPÍRITO SANTO ; m3 ;15;15;30;5,1;15;5;25;0;20;30;0;15,05;175,15; 
QUEROSENE ILUMINANTE ;1998; REGIÃO SUDESTE ; RIO DE JANEIRO ; m3 ;454,077;388,935;513,46;403,137;417,279;403,39;433,776;428,404;385,76;351,571;393,073;309,341;4882,203; 
QUEROSENE ILUMINANTE ;1998; REGIÃO SUDESTE ; SÃO PAULO ; m3 ;1397,118;1425,19;1588,89;1397,864;1330,02;1326,76;1200,6;1474,18;1396,87;1318,889;1347,67;1143,17;16347,221; 
QUEROSENE ILUMINANTE ;1998; REGIÃO SUL ; PARANÁ ; m3 ;450,203;633,594;611,949;541,26;591,563;628,902;650,461;511,936;554,262;551,301;524,804;555,032;6805,267; 
QUEROSENE ILUMINANTE ;1998; REGIÃO SUL ; SANTA CATARINA ; m3 ;373,6;338,332;450,468;400,9;425,328;478,148;463,332;502,974;528,154;523,439;491,925;478,57;5455,17; 
QUEROSENE ILUMINANTE ;1998; REGIÃO SUL ; RIO GRANDE DO SUL ; m3 ;542,05;510,774;867,772;866,598;854,774;916,504;971,256;808,646;804,868;791,308;772,558;730,916;9438,024; 
QUEROSENE ILUMINANTE ;1998; REGIÃO CENTRO-OESTE ; MATO GROSSO DO SUL ; m3 ;22,6;27;15;27,6;31,8;22;15,9;27;15,9;27;24;20;275,8; 
QUEROSENE ILUMINANTE ;1998; REGIÃO CENTRO-OESTE ; MATO GROSSO ; m3 ;0;0;0;0;0;0;0;0;0;0;5;0;5; 
QUEROSENE ILUMINANTE ;1998; REGIÃO CENTRO-OESTE ; GOIÁS ; m3 ;45;68,8;75,05;104,7;98,9;119,847;114,95;99,95;109;104,7;119,95;69,95;1130,797; 
QUEROSENE ILUMINANTE ;1998; REGIÃO CENTRO-OESTE ; DISTRITO FEDERAL ; m3 ;57,85;34,2;28;13,4;39,5;28,6;45,2;23,8;33,6;36;35,4;42,2;417,75; 
QUEROSENE ILUMINANTE ;1999; REGIÃO NORTE ; RONDÔNIA ; m3 ;10;10;45;20;20;20;10;10;10;45;0;0;200; 
QUEROSENE ILUMINANTE ;1999; REGIÃO NORTE ; ACRE ; m3 ;0;0;0;0;0;0;0;0;0;0;0;0;0; 
QUEROSENE ILUMINANTE ;1999; REGIÃO NORTE ; AMAZONAS ; m3 ;252,8;252,4;267;307,2;392;283,2;247,6;294,4;322;301;246,2;211;3376,8; 
QUEROSENE ILUMINANTE ;1999; REGIÃO NORTE ; RORAIMA ; m3 ;0;0;0;0;0;0;0;0;0;0;0;0;0; 
QUEROSENE ILUMINANTE ;1999; REGIÃO NORTE ; PARÁ ; m3 ;342,4;295,9;388,45;351,25;339,2;334,35;393,55;315,3;274,3;340,25;282,3;338,5;3995,75; 
QUEROSENE ILUMINANTE ;1999; REGIÃO NORTE ; AMAPÁ ; m3 ;0;0;0;0;0;0;0;0;0;0;0;0;0; 
QUEROSENE ILUMINANTE ;1999; REGIÃO NORTE ; TOCANTINS ; m3 ;0;0;0;0;0;0;0;0;0;0;0;0;0; 
